5000 ,35.6033,49.0526,72.6250,112.2846,172.5001,72.7317
7500 ,31.0073,42.7205,63.2500,97.7901,150.2324,63.0725
10000 ,28.1777,38.7391,57.2500,88.9699,136.1844,57.2967
15000 ,24.6343,33.9400,50.2500,77.6909,119.3546,50.2432
30000 ,19.5634,26.9536,39.9062,61.8576,94.8568,39.9716
50000 ,16.4841,22.7111,33.6250,51.9872,79.8666,33.5749
100000 ,12.8445,17.8507,26.6250,41.1646,63.2401,26.5355
150000 ,10.7379,15.1716,22.8125,35.6339,54.8737,22.8464
300000 ,8.2187,11.7380,17.9062,28.2556,44.0134,17.9330
1000000 ,5.2531,7.8063,12.2812,19.8201,31.4581,12.3014
3000000,3.1599,5.2827,9.4062,16.6800,26.8332,9.4167
