# Bin data format: xmin, xmax, y, yerr 
0.000000000e+00	1.266666667e-01	-nan	-nan
1.266666667e-01	2.533333333e-01	-nan	-nan
2.533333333e-01	3.800000000e-01	-nan	-nan
3.800000000e-01	5.066666667e-01	-nan	-nan
5.066666667e-01	6.333333333e-01	-nan	-nan
6.333333333e-01	7.600000000e-01	-nan	-nan
7.600000000e-01	8.866666667e-01	-nan	-nan
8.866666667e-01	1.013333333e+00	-nan	-nan
1.013333333e+00	1.140000000e+00	-nan	-nan
1.140000000e+00	1.266666667e+00	-nan	-nan
1.266666667e+00	1.393333333e+00	-nan	-nan
1.393333333e+00	1.520000000e+00	-nan	-nan
1.520000000e+00	1.646666667e+00	-nan	-nan
1.646666667e+00	1.773333333e+00	-nan	-nan
1.773333333e+00	1.900000000e+00	-nan	-nan
1.900000000e+00	2.026666667e+00	-nan	-nan
2.026666667e+00	2.153333333e+00	-nan	-nan
2.153333333e+00	2.280000000e+00	-nan	-nan
2.280000000e+00	2.406666667e+00	-nan	-nan
2.406666667e+00	2.533333333e+00	-nan	-nan
2.533333333e+00	2.660000000e+00	-nan	-nan
2.660000000e+00	2.786666667e+00	-nan	-nan
2.786666667e+00	2.913333333e+00	-nan	-nan
2.913333333e+00	3.040000000e+00	-nan	-nan
3.040000000e+00	3.166666667e+00	-nan	-nan
3.166666667e+00	3.293333333e+00	-nan	-nan
3.293333333e+00	3.420000000e+00	-nan	-nan
3.420000000e+00	3.546666667e+00	-nan	-nan
3.546666667e+00	3.673333333e+00	-nan	-nan
3.673333333e+00	3.800000000e+00	-nan	-nan
