-3.0 1.1224 1.5926 2.4453 3.9074 6.1954
-2.0 2.2726 3.1810 4.8281 7.6187 11.8675
-1.5 3.0233 4.2702 6.5312 10.3582 16.3714
-1.25 3.4937 4.9122 7.4844 11.9593 18.7934
-1.0 4.8868 6.8710 10.4688 16.7281 26.5233
-0.75 5.9808 8.4627 12.8125 20.4732 32.1725
-0.5 8.3844 11.7358 17.8125 28.2497 44.2444
-0.25 10.6465 15.0378 23.0000 36.7518 57.7535
0.0 15.7686 22.0715 33.5000 53.1293 83.9721
0.25 26.0063 36.4016 55.2500 87.1832 137.0667
0.5 44.0107 61.6026 93.5000 149.4043 234.7805
0.75 71.1938 99.6513 151.2500 241.6833 383.2021
1.0 79.4436 112.2112 171.6250 274.2407 438.6930
1.25 55.5356 77.7342 117.9844 188.5280 298.9214
1.5 37.4604 52.6708 80.2500 128.2320 201.5095
2.0 15.6960 22.0692 33.6250 53.7296 84.4331
3.0 4.6850 6.5576 9.9531 15.7851 24.7225
-3.0 1.2981 1.8170 2.7578 4.3518 6.7787
-2.0 2.0641 2.9206 4.4219 7.0657 11.0037
-1.5 2.7905 3.9147 5.9531 9.4413 14.7870
-1.25 3.3697 4.7379 7.2188 11.4486 17.9306
-1.0 3.7755 5.3327 8.1562 13.0329 20.4805
-0.75 4.4864 6.2797 9.5312 15.2300 23.9332
-0.5 5.6453 7.9879 12.0938 19.1801 30.3146
-0.25 7.3812 10.3783 15.8125 25.2669 40.0620
0.0 9.0905 12.8039 19.3125 30.8596 48.4941
0.25 12.1500 17.1133 25.8125 40.9373 64.1156
0.5 16.1628 22.7256 34.6250 55.3275 87.3344
0.75 23.6528 33.1073 50.2500 80.2948 126.1788
1.0 37.2854 52.4247 79.8750 127.6328 202.3687
1.25 43.8931 61.4379 93.2500 149.0048 236.2552
1.5 42.9517 60.3089 91.2500 147.2639 237.8033
2.0 29.5249 41.5131 63.2500 100.3112 158.5444
3.0 8.3010 11.5932 17.5625 27.7832 43.5967
-3.0 1.3165 1.8511 2.8203 4.5066 7.1455
-2.0 2.7789 3.9072 5.9531 9.4413 14.9223
-1.5 3.6862 5.2307 8.0312 12.8332 20.3477
-1.25 5.4866 7.7279 11.6562 18.4862 28.9529
-1.0 7.2076 10.0887 15.3125 24.2848 38.0347
-0.75 9.9232 14.0162 21.4375 34.2551 53.8300
-0.5 15.1655 21.3718 32.6250 52.1317 82.6576
-0.25 27.6460 38.5248 58.2500 91.9171 144.5093
0.0 53.7778 75.2738 114.2500 181.1946 286.3826
0.25 139.7400 195.5966 296.8750 474.3785 745.4595
0.5 252.0703 354.4203 540.0000 862.8694 1380.3014
0.75 113.3405 160.8300 246.9375 398.5202 632.5230
1.0 51.1726 71.9506 109.6250 174.2966 274.9499
1.25 25.0320 35.1959 53.6250 85.6877 134.6535
1.5 15.1331 21.0598 31.6250 50.1556 78.5533
2.0 6.8561 9.6399 14.6875 23.4692 36.8806
3.0 2.7580 3.8605 5.8594 9.3627 14.7130
