2198 82.9041 117.6408 180.6250 291.5018 462.6655
3000 71.4009 100.8512 154.2500 246.4771 390.8028
5000 55.6655 78.2678 119.2500 189.1243 298.9157
15000 33.5656 47.4940 71.9062 113.4664 175.1012
30000 25.2854 35.9439 54.6250 86.1970 133.0190
50000 20.8264 29.6486 45.3750 71.9624 111.6754
100000 16.0596 23.2695 35.9062 57.3748 90.1614
150000 13.7742 20.1196 31.6250 51.0380 81.0065
300000 10.5564 15.5924 25.3750 42.9744 69.9503
1000000 6.6951 9.9715 17.3125 34.2886 52.5014
3000000 5.1965 7.6690 13.7500 27.6713 41.7013
