>>> including systematics
>>> method used to compute upper limit is MaxLikelihoodFit
>>> random number generator seed is 123456
[?1034hComputing limit starting from observation
Created Branches
Searching for crossing at nll = -20721.3 in the interval 1.145, 20
      r      lvl-here  lvl-there   stepping
1.239273    +0.49446  +0.49447    0.094275
1.333549    +0.49441  +0.49446    0.094275
1.427824    +0.49430  +0.49441    0.094275
1.522099    +0.49414  +0.49430    0.094275
1.616374    +0.49393  +0.49414    0.094275
1.710649    +0.49367  +0.49393    0.094275
1.804924    +0.49337  +0.49367    0.094275
1.899199    +0.49301  +0.49337    0.094275
1.993474    +0.49271  +0.49301    0.094275
2.087749    +0.49239  +0.49271    0.094275
2.182024    +0.49203  +0.49239    0.094275
2.276299    +0.49162  +0.49203    0.094275
2.370574    +0.49115  +0.49162    0.094275
2.464849    +0.49064  +0.49115    0.094275
2.559124    +0.49008  +0.49064    0.094275
2.653399    +0.48947  +0.49008    0.094275
2.747674    +0.48881  +0.48947    0.094275
2.841949    +0.48810  +0.48881    0.094275
2.936224    +0.48734  +0.48810    0.094275
3.030499    +0.48653  +0.48734    0.094275
3.124774    +0.48567  +0.48653    0.094275
3.219049    +0.48493  +0.48567    0.094275
3.313324    +0.48440  +0.48493    0.094275
3.407599    +0.48368  +0.48440    0.094275
3.501874    +0.48292  +0.48368    0.094275
3.596149    +0.48210  +0.48292    0.094275
3.690424    +0.48124  +0.48210    0.094275
3.784699    +0.48033  +0.48124    0.094275
3.878974    +0.47937  +0.48033    0.094275
3.973249    +0.47836  +0.47937    0.094275
4.067524    +0.47730  +0.47836    0.094275
4.161799    +0.47619  +0.47730    0.094275
4.256074    +0.47504  +0.47619    0.094275
4.350349    +0.47383  +0.47504    0.094275
4.444624    +0.47258  +0.47383    0.094275
4.538899    +0.47128  +0.47258    0.094275
4.633174    +0.47034  +0.47128    0.094275
4.727449    +0.46932  +0.47034    0.094275
4.821724    +0.46826  +0.46932    0.094275
4.915999    +0.46714  +0.46826    0.094275
5.010274    +0.46598  +0.46714    0.094275
5.104549    +0.46477  +0.46598    0.094275
5.198824    +0.46351  +0.46477    0.094275
5.293099    +0.46220  +0.46351    0.094275
5.387374    +0.46084  +0.46220    0.094275
5.481649    +0.45944  +0.46084    0.094275
5.575924    +0.45799  +0.45944    0.094275
