>>> including systematics
>>> method used to compute upper limit is MaxLikelihoodFit
>>> random number generator seed is 123456
[?1034hComputing limit starting from observation
Created Branches
Searching for crossing at nll = -20431 in the interval 19.9999, 20
      r      lvl-here  lvl-there   stepping
19.999958    +0.49448  +0.49448    0.000001
19.999958    +0.49448  +0.49448    0.000001
19.999959    +0.49448  +0.49448    0.000001
19.999960    +0.49448  +0.49448    0.000001
19.999960    +0.49448  +0.49448    0.000001
19.999961    +0.49448  +0.49448    0.000001
19.999962    +0.49448  +0.49448    0.000001
19.999963    +0.49448  +0.49448    0.000001
19.999963    +0.49448  +0.49448    0.000001
19.999964    +0.49448  +0.49448    0.000001
19.999965    +0.49448  +0.49448    0.000001
19.999965    +0.49448  +0.49448    0.000001
19.999966    +0.49448  +0.49448    0.000001
19.999967    +0.49448  +0.49448    0.000001
19.999968    +0.49448  +0.49448    0.000001
19.999968    +0.49448  +0.49448    0.000001
19.999969    +0.49448  +0.49448    0.000001
19.999970    +0.49448  +0.49448    0.000001
19.999970    +0.49448  +0.49448    0.000001
19.999971    +0.49448  +0.49448    0.000001
19.999972    +0.49448  +0.49448    0.000001
19.999973    +0.49448  +0.49448    0.000001
19.999973    +0.49448  +0.49448    0.000001
19.999974    +0.49448  +0.49448    0.000001
19.999975    +0.49448  +0.49448    0.000001
19.999976    +0.49448  +0.49448    0.000001
19.999976    +0.49448  +0.49448    0.000001
19.999977    +0.49448  +0.49448    0.000001
19.999978    +0.49448  +0.49448    0.000001
19.999978    +0.49448  +0.49448    0.000001
19.999979    +0.49448  +0.49448    0.000001
19.999980    +0.49448  +0.49448    0.000001
19.999981    +0.49448  +0.49448    0.000001
19.999981    +0.49448  +0.49448    0.000001
19.999982    +0.49448  +0.49448    0.000001
19.999983    +0.49448  +0.49448    0.000001
19.999983    +0.49448  +0.49448    0.000001
19.999984    +0.49448  +0.49448    0.000001
19.999985    +0.49448  +0.49448    0.000001
19.999986    +0.49448  +0.49448    0.000001
19.999986    +0.49448  +0.49448    0.000001
19.999987    +0.49448  +0.49448    0.000001
19.999988    +0.49448  +0.49448    0.000001
19.999988    +0.49448  +0.49448    0.000001
19.999989    +0.49448  +0.49448    0.000001
19.999990    +0.49448  +0.49448    0.000001
19.999991    +0.49448  +0.49448    0.000001
19.999991    +0.49448  +0.49448    0.000001
19.999992    +0.49448  +0.49448    0.000001
19.999993    +0.49448  +0.49448    0.000001
19.999994    +0.49448  +0.49448    0.000001
19.999994    +0.49448  +0.49448    0.000001
19.999995    +0.49448  +0.49448    0.000001
19.999996    +0.49448  +0.49448    0.000001
19.999996    +0.49448  +0.49448    0.000001
19.999997    +0.49448  +0.49448    0.000001
19.999998    +0.49448  +0.49448    0.000001
19.999999    +0.49448  +0.49448    0.000001
19.999999    +0.49448  +0.49448    0.000001
20.000000    +0.49448  +0.49448    0.000001
