>>> including systematics
>>> method used to compute upper limit is MaxLikelihoodFit
>>> random number generator seed is 123456
[?1034hComputing limit starting from observation
Created Branches
Searching for crossing at nll = -22480.8 in the interval 0.139883, 20
      r      lvl-here  lvl-there   stepping
0.239184    +0.49441  +0.49447    0.099301
0.338484    +0.49423  +0.49441    0.099301
0.437785    +0.49393  +0.49423    0.099301
0.537086    +0.49351  +0.49393    0.099301
0.636386    +0.49296  +0.49351    0.099301
0.735687    +0.49230  +0.49296    0.099301
0.834987    +0.49154  +0.49230    0.099301
0.934288    +0.49086  +0.49154    0.099301
1.033588    +0.49006  +0.49086    0.099301
1.132889    +0.48914  +0.49006    0.099301
1.232190    +0.48810  +0.48914    0.099301
1.331490    +0.48694  +0.48810    0.099301
1.430791    +0.48566  +0.48694    0.099301
1.530091    +0.48427  +0.48566    0.099301
1.629392    +0.48275  +0.48427    0.099301
1.728693    +0.48112  +0.48275    0.099301
1.827993    +0.47937  +0.48112    0.099301
1.927294    +0.47833  +0.47937    0.099301
2.026594    +0.47683  +0.47833    0.099301
2.125895    +0.47521  +0.47683    0.099301
2.225195    +0.47348  +0.47521    0.099301
2.324496    +0.47163  +0.47348    0.099301
2.423797    +0.46966  +0.47163    0.099301
2.523097    +0.46758  +0.46966    0.099301
2.622398    +0.46538  +0.46758    0.099301
2.721698    +0.46306  +0.46538    0.099301
2.820999    +0.46206  +0.46306    0.099301
2.920299    +0.45982  +0.46206    0.099301
3.019600    +0.45746  +0.45982    0.099301
3.118901    +0.45499  +0.45746    0.099301
3.218201    +0.45240  +0.45499    0.099301
3.317502    +0.44970  +0.45240    0.099301
3.416802    +0.44688  +0.44970    0.099301
3.516103    +0.44395  +0.44688    0.099301
3.615404    +0.44090  +0.44395    0.099301
3.714704    +0.43774  +0.44090    0.099301
3.814005    +0.43446  +0.43774    0.099301
3.913305    +0.43226  +0.43446    0.099301
4.012606    +0.42946  +0.43226    0.099301
4.111906    +0.42655  +0.42946    0.099301
4.211207    +0.42352  +0.42655    0.099301
4.310508    +0.42038  +0.42352    0.099301
4.409808    +0.41712  +0.42038    0.099301
4.509109    +0.41375  +0.41712    0.099301
4.608409    +0.41027  +0.41375    0.099301
4.707710    +0.40667  +0.41027    0.099301
4.807011    +0.40296  +0.40667    0.099301
4.906311    +0.39914  +0.40296    0.099301
5.005612    +0.39521  +0.39914    0.099301
5.104912    +0.39296  +0.39521    0.099301
5.204213    +0.38949  +0.39296    0.099301
5.303513    +0.38591  +0.38949    0.099301
5.402814    +0.38222  +0.38591    0.099301
5.502115    +0.37842  +0.38222    0.099301
5.601415    +0.37450  +0.37842    0.099301
5.700716    +0.37048  +0.37450    0.099301
5.800016    +0.36634  +0.37048    0.099301
5.899317    +0.36209  +0.36634    0.099301
5.998618    +0.35773  +0.36209    0.099301
6.097918    +0.35326  +0.35773    0.099301
6.197219    +0.34974  +0.35326    0.099301
6.296519    +0.34571  +0.34974    0.099301
6.395820    +0.34157  +0.34571    0.099301
6.495120    +0.33732  +0.34157    0.099301
6.594421    +0.33296  +0.33732    0.099301
6.693722    +0.32849  +0.33296    0.099301
6.793022    +0.32391  +0.32849    0.099301
6.892323    +0.31922  +0.32391    0.099301
6.991623    +0.31442  +0.31922    0.099301
7.090924    +0.30952  +0.31442    0.099301
7.190225    +0.30450  +0.30952    0.099301
7.289525    +0.29937  +0.30450    0.099301
7.388826    +0.29413  +0.29937    0.099301
7.488126    +0.28879  +0.29413    0.099301
7.587427    +0.28334  +0.28879    0.099301
7.686727    +0.27777  +0.28334    0.099301
7.786028    +0.27210  +0.27777    0.099301
7.885329    +0.26632  +0.27210    0.099301
7.984629    +0.26044  +0.26632    0.099301
8.083930    +0.25459  +0.26044    0.099301
8.183230    +0.24924  +0.25459    0.099301
8.282531    +0.24378  +0.24924    0.099301
8.381831    +0.23821  +0.24378    0.099301
8.481132    +0.23253  +0.23821    0.099301
8.580433    +0.22675  +0.23253    0.099301
8.679733    +0.22085  +0.22675    0.099301
8.779034    +0.21486  +0.22085    0.099301
8.878334    +0.20918  +0.21486    0.099301
8.977635    +0.20362  +0.20918    0.099301
9.076936    +0.19796  +0.20362    0.099301
9.176236    +0.19220  +0.19796    0.099301
9.275537    +0.18632  +0.19220    0.099301
9.374837    +0.18035  +0.18632    0.099301
9.474138    +0.17426  +0.18035    0.099301
9.573438    +0.16807  +0.17426    0.099301
9.672739    +0.16177  +0.16807    0.099301
9.772040    +0.15553  +0.16177    0.099301
9.871340    +0.14981  +0.15553    0.099301
9.970641    +0.14397  +0.14981    0.099301
10.069941    +0.13803  +0.14397    0.099301
10.169242    +0.13198  +0.13803    0.099301
10.268543    +0.12582  +0.13198    0.099301
10.367843    +0.11956  +0.12582    0.099301
10.467144    +0.11320  +0.11956    0.099301
10.566444    +0.10673  +0.11320    0.099301
10.665745    +0.10015  +0.10673    0.099301
10.765045    +0.09347  +0.10015    0.099301
10.864346    +0.08668  +0.09347    0.099301
10.963647    +0.07979  +0.08668    0.099301
11.062947    +0.07279  +0.07979    0.099301
11.162248    +0.06569  +0.07279    0.099301
11.261548    +0.05849  +0.06569    0.099301
11.360849    +0.05118  +0.05849    0.099301
11.460150    +0.04550  +0.05118    0.099301
11.559450    +0.03896  +0.04550    0.099301
11.658751    +0.03232  +0.03896    0.099301
11.758051    +0.02557  +0.03232    0.099301
11.857352    +0.01872  +0.02557    0.099301
11.956652    +0.01176  +0.01872    0.099301
12.055953    +0.00470  +0.01176    0.099301
12.155254    -0.00246  +0.00470    0.099301
12.085743    +0.00256  -0.00246    0.029790
12.115533    +0.00042  +0.00256    0.029790
12.145324    -0.00174  +0.00042    0.029790
12.124470    -0.00023  -0.00174    0.008937
Searching for crossing at nll = -22480.8 in the interval 0.139883, -20
      r      lvl-here  lvl-there   stepping
0.039184    +0.49441  +0.49447    -0.100699
-0.061516    +0.49422  +0.49441    -0.100699
-0.162215    +0.49391  +0.49422    -0.100699
-0.262914    +0.49348  +0.49391    -0.100699
-0.363614    +0.49291  +0.49348    -0.100699
-0.464313    +0.49223  +0.49291    -0.100699
-0.565013    +0.49141  +0.49223    -0.100699
-0.665712    +0.49047  +0.49141    -0.100699
-0.766412    +0.48980  +0.49047    -0.100699
-0.867111    +0.48890  +0.48980    -0.100699
-0.967810    +0.48787  +0.48890    -0.100699
-1.068510    +0.48671  +0.48787    -0.100699
-1.169209    +0.48543  +0.48671    -0.100699
-1.269909    +0.48402  +0.48543    -0.100699
-1.370608    +0.48248  +0.48402    -0.100699
-1.471307    +0.48082  +0.48248    -0.100699
-1.572007    +0.47935  +0.48082    -0.100699
-1.672706    +0.47789  +0.47935    -0.100699
-1.773406    +0.47630  +0.47789    -0.100699
-1.874105    +0.47458  +0.47630    -0.100699
-1.974804    +0.47273  +0.47458    -0.100699
-2.075504    +0.47076  +0.47273    -0.100699
-2.176203    +0.46865  +0.47076    -0.100699
-2.276903    +0.46642  +0.46865    -0.100699
-2.377602    +0.46406  +0.46642    -0.100699
-2.478302    +0.46157  +0.46406    -0.100699
-2.579001    +0.45933  +0.46157    -0.100699
-2.679700    +0.45714  +0.45933    -0.100699
-2.780400    +0.45483  +0.45714    -0.100699
-2.881099    +0.45238  +0.45483    -0.100699
-2.981799    +0.44980  +0.45238    -0.100699
-3.082498    +0.44709  +0.44980    -0.100699
-3.183197    +0.44426  +0.44709    -0.100699
-3.283897    +0.44129  +0.44426    -0.100699
-3.384596    +0.43819  +0.44129    -0.100699
-3.485296    +0.43602  +0.43819    -0.100699
-3.585995    +0.43352  +0.43602    -0.100699
-3.686695    +0.43088  +0.43352    -0.100699
-3.787394    +0.42811  +0.43088    -0.100699
-3.888093    +0.42521  +0.42811    -0.100699
-3.988793    +0.42218  +0.42521    -0.100699
-4.089492    +0.41902  +0.42218    -0.100699
-4.190192    +0.41572  +0.41902    -0.100699
-4.290891    +0.41229  +0.41572    -0.100699
-4.391590    +0.40873  +0.41229    -0.100699
-4.492290    +0.40504  +0.40873    -0.100699
-4.592989    +0.40278  +0.40504    -0.100699
-4.693689    +0.39955  +0.40278    -0.100699
-4.794388    +0.39619  +0.39955    -0.100699
-4.895087    +0.39269  +0.39619    -0.100699
-4.995787    +0.38907  +0.39269    -0.100699
-5.096486    +0.38579  +0.38907    -0.100699
-5.197186    +0.38299  +0.38579    -0.100699
-5.297885    +0.38006  +0.38299    -0.100699
-5.398585    +0.37700  +0.38006    -0.100699
-5.499284    +0.37381  +0.37700    -0.100699
-5.599983    +0.37048  +0.37381    -0.100699
-5.700683    +0.36702  +0.37048    -0.100699
-5.801382    +0.36343  +0.36702    -0.100699
-5.902082    +0.35970  +0.36343    -0.100699
-6.002781    +0.35584  +0.35970    -0.100699
-6.103480    +0.35184  +0.35584    -0.100699
-6.204180    +0.34771  +0.35184    -0.100699
-6.304879    +0.34344  +0.34771    -0.100699
-6.405579    +0.33904  +0.34344    -0.100699
-6.506278    +0.33450  +0.33904    -0.100699
-6.606978    +0.33017  +0.33450    -0.100699
-6.707677    +0.32589  +0.33017    -0.100699
-6.808376    +0.32148  +0.32589    -0.100699
-6.909076    +0.31693  +0.32148    -0.100699
-7.009775    +0.31224  +0.31693    -0.100699
-7.110475    +0.30742  +0.31224    -0.100699
-7.211174    +0.30246  +0.30742    -0.100699
-7.311873    +0.29737  +0.30246    -0.100699
-7.412573    +0.29213  +0.29737    -0.100699
-7.513272    +0.28676  +0.29213    -0.100699
-7.613972    +0.28163  +0.28676    -0.100699
-7.714671    +0.27668  +0.28163    -0.100699
-7.815370    +0.27159  +0.27668    -0.100699
-7.916070    +0.26636  +0.27159    -0.100699
-8.016769    +0.26100  +0.26636    -0.100699
-8.117469    +0.25549  +0.26100    -0.100699
-8.218168    +0.24985  +0.25549    -0.100699
-8.318868    +0.24408  +0.24985    -0.100699
-8.419567    +0.23816  +0.24408    -0.100699
-8.520266    +0.23210  +0.23816    -0.100699
-8.620966    +0.22590  +0.23210    -0.100699
-8.721665    +0.22116  +0.22590    -0.100699
-8.822365    +0.21535  +0.22116    -0.100699
-8.923064    +0.20940  +0.21535    -0.100699
-9.023763    +0.20330  +0.20940    -0.100699
-9.124463    +0.19707  +0.20330    -0.100699
-9.225162    +0.19070  +0.19707    -0.100699
-9.325862    +0.18418  +0.19070    -0.100699
-9.426561    +0.17753  +0.18418    -0.100699
-9.527261    +0.17074  +0.17753    -0.100699
-9.627960    +0.16380  +0.17074    -0.100699
-9.728659    +0.15866  +0.16380    -0.100699
-9.829359    +0.15219  +0.15866    -0.100699
-9.930058    +0.14557  +0.15219    -0.100699
-10.030758    +0.13882  +0.14557    -0.100699
-10.131457    +0.13486  +0.13882    -0.100699
-10.232156    +0.13060  +0.13486    -0.100699
-10.332856    +0.12429  +0.13060    -0.100699
-10.433555    +0.11832  +0.12429    -0.100699
-10.534255    +0.11204  +0.11832    -0.100699
-10.634954    +0.10562  +0.11204    -0.100699
-10.735653    +0.09906  +0.10562    -0.100699
-10.836353    +0.09236  +0.09906    -0.100699
-10.937052    +0.08552  +0.09236    -0.100699
-11.037752    +0.07853  +0.08552    -0.100699
-11.138451    +0.07214  +0.07853    -0.100699
-11.239151    +0.06542  +0.07214    -0.100699
-11.339850    +0.05856  +0.06542    -0.100699
-11.440549    +0.05156  +0.05856    -0.100699
-11.541249    +0.04441  +0.05156    -0.100699
-11.641948    +0.03713  +0.04441    -0.100699
-11.742648    +0.02970  +0.03713    -0.100699
-11.843347    +0.02212  +0.02970    -0.100699
-11.944046    +0.01441  +0.02212    -0.100699
-12.044746    +0.00655  +0.01441    -0.100699
-12.145445    -0.00133  +0.00655    -0.100699
-12.074956    +0.00416  -0.00133    -0.030210
-12.105166    +0.00176  +0.00416    -0.030210
-12.135375    -0.00065  +0.00176    -0.030210
-12.114228    +0.00104  -0.00065    -0.009063
-12.123291    +0.00031  +0.00104    -0.009063

 --- MaxLikelihoodFit ---
Best fit r: 0.139883  -12.2627/+11.9843  (68% CL)
nll S+B -> -62.2263  nll B -> -62.7248
Done in 5.01 min (cpu), 5.02 min (real)
>>> including systematics
>>> method used to compute upper limit is MaxLikelihoodFit
>>> random number generator seed is 123456
[?1034hComputing limit starting from expected outcome
Created Branches
Searching for crossing at nll = -27268.3 in the interval 0.0158254, 20
      r      lvl-here  lvl-there   stepping
0.115746    +0.49440  +0.49447    0.099921
0.215667    +0.49417  +0.49440    0.099921
0.315588    +0.49379  +0.49417    0.099921
0.415509    +0.49326  +0.49379    0.099921
0.515430    +0.49259  +0.49326    0.099921
0.615351    +0.49176  +0.49259    0.099921
0.715271    +0.49103  +0.49176    0.099921
0.815192    +0.49014  +0.49103    0.099921
0.915113    +0.48905  +0.49014    0.099921
1.015034    +0.48783  +0.48905    0.099921
1.114955    +0.48645  +0.48783    0.099921
1.214876    +0.48494  +0.48645    0.099921
1.314797    +0.48328  +0.48494    0.099921
1.414718    +0.48178  +0.48328    0.099921
1.514638    +0.48021  +0.48178    0.099921
1.614559    +0.47851  +0.48021    0.099921
1.714480    +0.47666  +0.47851    0.099921
1.814401    +0.47468  +0.47666    0.099921
1.914322    +0.47255  +0.47468    0.099921
2.014243    +0.47028  +0.47255    0.099921
2.114164    +0.46788  +0.47028    0.099921
2.214085    +0.46534  +0.46788    0.099921
2.314005    +0.46266  +0.46534    0.099921
2.413926    +0.45984  +0.46266    0.099921
2.513847    +0.45693  +0.45984    0.099921
