>>> including systematics
>>> method used to compute upper limit is MaxLikelihoodFit
>>> random number generator seed is 123456
[?1034hComputing limit starting from observation
Created Branches
Searching for crossing at nll = -21000.6 in the interval 0.0276727, 20
      r      lvl-here  lvl-there   stepping
0.127534    +0.49343  +0.49447    0.099862
0.227396    +0.49133  +0.49343    0.099862
0.327258    +0.48769  +0.49133    0.099862
0.427119    +0.48189  +0.48769    0.099862
0.526981    +0.47683  +0.48189    0.099862
0.626843    +0.46981  +0.47683    0.099862
0.726704    +0.46067  +0.46981    0.099862
0.826566    +0.45182  +0.46067    0.099862
0.926427    +0.44264  +0.45182    0.099862
1.026289    +0.43322  +0.44264    0.099862
1.126151    +0.42173  +0.43322    0.099862
1.226012    +0.40817  +0.42173    0.099862
1.325874    +0.39534  +0.40817    0.099862
1.425736    +0.38244  +0.39534    0.099862
1.525597    +0.36776  +0.38244    0.099862
1.625459    +0.35309  +0.36776    0.099862
1.725320    +0.33640  +0.35309    0.099862
1.825182    +0.31771  +0.33640    0.099862
1.925044    +0.30102  +0.31771    0.099862
2.024905    +0.28271  +0.30102    0.099862
2.124767    +0.26548  +0.28271    0.099862
2.224629    +0.24667  +0.26548    0.099862
2.324490    +0.22590  +0.24667    0.099862
2.424352    +0.20318  +0.22590    0.099862
2.524214    +0.18243  +0.20318    0.099862
2.624075    +0.22161  +0.18243    0.099862
2.723937    +0.20597  +0.22161    0.099862
2.823798    +0.18839  +0.20597    0.099862
2.923660    +0.16889  +0.18839    0.099862
3.023522    +0.14748  +0.16889    0.099862
3.123383    +0.12435  +0.14748    0.099862
3.223245    +0.10282  +0.12435    0.099862
3.323107    +0.07939  +0.10282    0.099862
3.422968    +0.05409  +0.07939    0.099862
3.522830    +0.02692  +0.05409    0.099862
3.622692    -0.00164  +0.02692    0.099862
3.552788    +0.01841  -0.00164    0.029958
3.582747    +0.00972  +0.01841    0.029958
3.612705    +0.00091  +0.00972    0.029958
3.642664    -0.00666  +0.00091    0.029958
3.621693    -0.00134  -0.00666    0.008988
3.615402    +0.00024  -0.00134    0.002696
Searching for crossing at nll = -21000.6 in the interval 0.0276727, -20
      r      lvl-here  lvl-there   stepping
-0.072466    +0.49331  +0.49447    -0.100138
-0.172604    +0.49100  +0.49331    -0.100138
-0.272742    +0.48810  +0.49100    -0.100138
-0.372881    +0.48616  +0.48810    -0.100138
-0.473019    +0.48058  +0.48616    -0.100138
-0.573157    +0.47354  +0.48058    -0.100138
-0.673296    +0.46564  +0.47354    -0.100138
-0.773434    +0.45667  +0.46564    -0.100138
-0.873573    +0.44754  +0.45667    -0.100138
-0.973711    +0.43609  +0.44754    -0.100138
-1.073849    +0.42815  +0.43609    -0.100138
-1.173988    +0.41917  +0.42815    -0.100138
-1.274126    +0.40786  +0.41917    -0.100138
-1.374264    +0.39552  +0.40786    -0.100138
-1.474403    +0.38260  +0.39552    -0.100138
-1.574541    +0.36742  +0.38260    -0.100138
-1.674679    +0.35172  +0.36742    -0.100138
-1.774818    +0.33363  +0.35172    -0.100138
-1.874956    +0.31363  +0.33363    -0.100138
-1.975095    +0.29437  +0.31363    -0.100138
-2.075233    +0.27451  +0.29437    -0.100138
-2.175371    +0.26850  +0.27451    -0.100138
-2.275510    +0.25049  +0.26850    -0.100138
-2.375648    +0.23005  +0.25049    -0.100138
-2.475786    +0.20716  +0.23005    -0.100138
-2.575925    +0.18836  +0.20716    -0.100138
-2.676063    +0.16618  +0.18836    -0.100138
-2.776201    +0.14151  +0.16618    -0.100138
-2.876340    +0.11433  +0.14151    -0.100138
-2.976478    +0.08767  +0.11433    -0.100138
-3.076616    +0.06074  +0.08767    -0.100138
-3.176755    +0.03128  +0.06074    -0.100138
-3.276893    -0.00076  +0.03128    -0.100138
-3.206796    +0.02194  -0.00076    -0.030042
-3.236838    +0.01237  +0.02194    -0.030042
-3.266879    +0.00453  +0.01237    -0.030042
-3.296921    -0.00452  +0.00453    -0.030042
-3.275892    +0.00184  -0.00452    -0.009012
-3.284904    -0.00087  +0.00184    -0.009012
-3.278596    +0.00103  -0.00087    -0.002704
-3.281299    +0.00022  +0.00103    -0.002704

 --- MaxLikelihoodFit ---
Best fit r: 0.0276727  -3.30869/+3.58793  (68% CL)
nll S+B -> -61.5067  nll B -> -62.2946
Done in 1.68 min (cpu), 1.68 min (real)
>>> including systematics
>>> method used to compute upper limit is MaxLikelihoodFit
