>>> including systematics
>>> method used to compute upper limit is MaxLikelihoodFit
>>> random number generator seed is 123456
[?1034hComputing limit starting from observation
Created Branches
Searching for crossing at nll = -20622.5 in the interval 9.80906, 20
      r      lvl-here  lvl-there   stepping
16.025533    +0.33370  +0.33615    0.050955
16.076488    +0.33121  +0.33370    0.050955
16.127443    +0.32869  +0.33121    0.050955
16.178397    +0.32614  +0.32869    0.050955
16.229352    +0.32356  +0.32614    0.050955
16.280307    +0.32094  +0.32356    0.050955
16.331262    +0.31859  +0.32094    0.050955
16.382216    +0.31624  +0.31859    0.050955
16.433171    +0.31385  +0.31624    0.050955
16.484126    +0.31144  +0.31385    0.050955
16.535080    +0.30900  +0.31144    0.050955
16.586035    +0.30653  +0.30900    0.050955
16.636990    +0.30402  +0.30653    0.050955
16.687944    +0.30149  +0.30402    0.050955
16.738899    +0.29892  +0.30149    0.050955
16.789854    +0.29633  +0.29892    0.050955
16.840809    +0.29370  +0.29633    0.050955
16.891763    +0.29104  +0.29370    0.050955
16.942718    +0.28835  +0.29104    0.050955
16.993673    +0.28563  +0.28835    0.050955
17.044627    +0.28289  +0.28563    0.050955
17.095582    +0.28011  +0.28289    0.050955
17.146537    +0.27730  +0.28011    0.050955
17.197491    +0.27445  +0.27730    0.050955
17.248446    +0.27185  +0.27445    0.050955
17.299401    +0.26925  +0.27185    0.050955
17.350356    +0.26662  +0.26925    0.050955
17.401310    +0.26397  +0.26662    0.050955
17.452265    +0.26128  +0.26397    0.050955
17.503220    +0.25856  +0.26128    0.050955
17.554174    +0.25581  +0.25856    0.050955
17.605129    +0.25303  +0.25581    0.050955
17.656084    +0.25022  +0.25303    0.050955
17.707038    +0.24738  +0.25022    0.050955
17.757993    +0.24451  +0.24738    0.050955
17.808948    +0.24161  +0.24451    0.050955
17.859902    +0.23868  +0.24161    0.050955
17.910857    +0.23572  +0.23868    0.050955
17.961812    +0.23273  +0.23572    0.050955
18.012767    +0.22971  +0.23273    0.050955
18.063721    +0.22666  +0.22971    0.050955
18.114676    +0.22357  +0.22666    0.050955
18.165631    +0.22046  +0.22357    0.050955
18.216585    +0.21732  +0.22046    0.050955
18.267540    +0.21415  +0.21732    0.050955
18.318495    +0.21095  +0.21415    0.050955
18.369449    +0.20779  +0.21095    0.050955
18.420404    +0.21007  +0.20779    0.050955
18.471359    +0.20724  +0.21007    0.050955
18.522314    +0.20438  +0.20724    0.050955
18.573268    +0.20150  +0.20438    0.050955
18.624223    +0.19858  +0.20150    0.050955
18.675178    +0.19563  +0.19858    0.050955
18.726132    +0.19265  +0.19563    0.050955
18.777087    +0.18965  +0.19265    0.050955
18.828042    +0.18661  +0.18965    0.050955
18.878996    +0.18354  +0.18661    0.050955
18.929951    +0.18045  +0.18354    0.050955
18.980906    +0.17732  +0.18045    0.050955
19.031861    +0.17417  +0.17732    0.050955
19.082815    +0.17098  +0.17417    0.050955
19.133770    +0.16777  +0.17098    0.050955
19.184725    +0.16452  +0.16777    0.050955
19.235679    +0.16125  +0.16452    0.050955
19.286634    +0.15795  +0.16125    0.050955
19.337589    +0.15461  +0.15795    0.050955
19.388543    +0.15125  +0.15461    0.050955
19.439498    +0.14786  +0.15125    0.050955
19.490453    +0.14444  +0.14786    0.050955
19.541407    +0.14099  +0.14444    0.050955
19.592362    +0.13751  +0.14099    0.050955
19.643317    +0.13400  +0.13751    0.050955
19.694272    +0.13046  +0.13400    0.050955
19.745226    +0.12689  +0.13046    0.050955
19.796181    +0.12329  +0.12689    0.050955
19.847136    +0.11967  +0.12329    0.050955
19.898090    +0.11601  +0.11967    0.050955
19.949045    +0.11233  +0.11601    0.050955
20.000000    +0.10861  +0.11233    0.050955
20.000000    +0.10861  +0.10861    0.000000
Error: closed range without finding crossing.
Searching for crossing at nll = -20622.5 in the interval 9.80906, -20
      r      lvl-here  lvl-there   stepping
9.660015    +0.49434  +0.49447    -0.149045
9.510970    +0.49392  +0.49434    -0.149045
9.361924    +0.49321  +0.49392    -0.149045
9.212879    +0.49221  +0.49321    -0.149045
9.063834    +0.49131  +0.49221    -0.149045
8.914789    +0.49026  +0.49131    -0.149045
