cf,twosigdown,onesigdown,exp,onesigup,twosigup,obs
-3.0,0.7589,1.0593,1.5859,2.4899,3.8203,2.1987
-2.0,1.3520,1.8682,2.7578,4.2198,6.3518,2.5952
-1.5,1.8299,2.5250,3.7031,5.6663,8.5290,4.1411
-1.25,2.0152,2.7646,4.0781,6.2726,9.4565,5.2987
-1.0,2.4630,3.3888,4.9844,7.6268,11.4800,6.4963
-0.75,2.7959,3.8520,5.7031,8.7721,13.2916,6.2626
-0.5,3.3815,4.6790,6.9531,10.6947,16.2048,7.1462
-0.25,4.3049,5.9311,8.7812,13.5066,20.4654,7.6755
0.0,5.5917,7.7040,11.4062,17.5441,26.5831,13.3553
0.25,7.1084,9.7936,14.5000,22.3605,34.0753,17.3004
0.5,10.3455,14.2842,21.1875,32.7577,49.8300,25.9014
0.75,14.9521,20.6004,30.5000,47.1557,71.7317,41.7080
1.0,19.7178,27.5854,41.3750,64.6291,99.5244,61.0182
1.25,26.8696,37.1797,55.2500,84.9809,129.7373,58.4521
1.5,27.7305,38.4544,57.2500,88.5135,135.9811,51.1264
2.0,18.8127,26.0722,38.3750,59.0252,88.5348,46.3450
3.0,5.8041,8.1150,12.0312,18.4095,27.4264,15.7346
