cf,twosigdown,onesigdown,exp,onesigup,twosigup,obs
-3.0,0.9287,1.2654,1.8359,2.7653,4.1190,1.6769
-2.0,1.6137,2.2138,3.2656,4.9708,7.4699,3.2764
-1.5,2.4544,3.3962,5.0469,7.7224,11.6240,4.2597
-1.25,3.4637,4.8108,7.0938,10.8545,16.2546,5.4384
-1.0,4.4529,6.1799,9.1562,13.9374,20.9444,8.7945
-0.75,6.2198,8.5694,12.6875,19.5148,29.4202,9.6972
-0.5,9.2960,12.7532,18.8125,28.9358,43.8439,21.6056
-0.25,15.9939,22.0357,32.6250,49.9209,75.5270,34.3542
0.0,31.5505,43.7869,64.8750,99.7853,151.1961,72.0498
0.25,83.6804,116.8097,174.8750,273.1603,416.6075,189.7564
0.5,156.6853,220.6917,332.8750,521.2883,801.2752,409.7689
0.75,76.4429,106.7068,159.7500,245.7140,368.5584,165.4245
1.0,32.5962,45.9118,69.2500,107.8947,163.2480,60.7222
1.25,15.2468,21.2465,32.1250,50.1803,75.7896,33.3310
1.5,9.3610,13.0670,19.5625,30.5573,46.6041,19.0793
2.0,4.5554,6.3041,9.2188,14.0325,20.9780,9.7571
3.0,1.6982,2.3811,3.5781,5.5036,8.2551,3.0993
