# Bin data format: xmin, xmax, y, yerr 
-1.000000000e+00	-8.888888889e-01	0.000000000e+00	0.000000000e+00
-8.888888889e-01	-7.777777778e-01	0.000000000e+00	0.000000000e+00
-7.777777778e-01	-6.666666667e-01	1.108193845e-01	3.350496267e-02
-6.666666667e-01	-5.555555556e-01	2.109776878e+01	3.614637493e-01
-5.555555556e-01	-4.444444444e-01	2.738182068e+02	1.454284894e+00
-4.444444444e-01	-3.333333333e-01	6.438010864e+02	3.155867707e+00
-3.333333333e-01	-2.222222222e-01	7.895753174e+02	4.185413157e+00
-2.222222222e-01	-1.111111111e-01	6.871233521e+02	3.574834055e+00
-1.111111111e-01	0.000000000e+00	4.794346924e+02	3.363213842e+00
0.000000000e+00	1.111111111e-01	2.751809082e+02	4.025225135e+00
1.111111111e-01	2.222222222e-01	1.379288635e+02	4.988975093e+00
2.222222222e-01	3.333333333e-01	4.611401749e+01	3.721759311e+00
3.333333333e-01	4.444444444e-01	8.047486305e+00	2.526576259e-01
4.444444444e-01	5.555555556e-01	5.306885242e-01	4.465319669e-02
5.555555556e-01	6.666666667e-01	1.652649418e-02	6.506530861e-03
6.666666667e-01	7.777777778e-01	0.000000000e+00	0.000000000e+00
7.777777778e-01	8.888888889e-01	0.000000000e+00	0.000000000e+00
8.888888889e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
