0	8.9375	
1	2.3828	
2	4.7031	
3	6.5938	
4	7.7812	
5	11.4688	
6	16.4062	
7	21.0625	
8	32.1250	
9	49.7969	
10	89.0000	
11	152.2500	
12	158.2500	
13	110.8750	
14	70.7500	
15	30.1250	
16	9.1562	
17	2.5703	
18	4.2031	
19	5.2656	
20	6.9062	
21	6.7812	
22	7.8438	
23	9.2812	
24	11.5938	
25	18.1875	
26	22.0625	
27	30.9766	
28	45.3750	
29	68.8125	
30	88.9688	
31	100.2500	
32	52.9062	
33	16.0625	
34	2.6172	
35	5.9219	
36	7.2188	
37	8.4062	
38	15.3125	
39	20.5625	
40	29.6250	
41	53.2500	
42	105.2500	
43	293.7500	
44	228.2500	
45	100.7500	
46	49.8125	
47	27.8125	
48	15.3125	
49	5.7969	
50	8.9375	
51	2.3828	
52	4.7031	
53	6.5938	
54	7.7812	
55	11.4688	
56	16.4062	
57	21.0625	
58	32.1250	
59	49.7969	
60	89.0000	
61	152.2500	
62	158.2500	
63	110.8750	
64	70.7500	
65	30.1250	
66	9.1562	
67	2.5703	
68	4.2031	
69	5.2656	
70	6.9062	
71	6.7812	
72	7.8438	
73	9.2812	
74	11.5938	
75	18.1875	
76	22.0625	
77	30.9766	
78	45.3750	
79	68.8125	
80	88.9688	
81	100.2500	
82	52.9062	
83	16.0625	
84	2.6172	
85	5.9219	
86	7.2188	
87	8.4062	
88	15.3125	
89	20.5625	
90	29.6250	
91	53.2500	
92	105.2500	
93	293.7500	
94	228.2500	
95	100.7500	
96	49.8125	
97	27.8125	
98	15.3125	
99	5.7969	
