2198 5.0701 7.1613 10.9531 17.5021 27.7505
3000 4.4276 6.2362 9.4062 15.0303 23.6193
5000 3.4842 4.8636 7.2812 11.4896 17.8972
15000 2.1678 3.0042 4.4219 6.8366 10.5029
30000 1.7043 2.3349 3.4219 5.2496 7.9685
50000 1.4706 2.0120 2.9297 4.4595 6.7363
100000 1.2510 1.7116 2.4922 3.7538 5.6213
150000 1.1658 1.5885 2.3047 3.4714 5.1707
300000 1.0713 1.4536 2.1016 3.1487 4.6556
1000000 0.9917 1.3456 1.9453 2.8836 4.2455
3000000 0.9671 1.3141 1.8828 2.8059 4.1174
