# Bin data format: xmin, xmax, y, yerr 
3.500000000e+00 3.700000000e+00 4.356896388e-04 4.356896242e-04
3.700000000e+00 3.900000000e+00 2.473827219e-03 9.755598223e-04
3.900000000e+00 4.100000000e+00 1.424130332e-02 2.372219946e-03
4.100000000e+00 4.300000000e+00 4.524676129e-02 4.383524889e-03
4.300000000e+00 4.500000000e+00 1.477125883e-01 7.815892657e-03
4.500000000e+00 4.700000000e+00 4.529702961e-01 1.532700025e-02
4.700000000e+00 4.900000000e+00 1.104548931e+00 2.216164968e-02
4.900000000e+00 5.100000000e+00 1.574798465e+00 2.488328426e-02
5.100000000e+00 5.300000000e+00 2.288698435e+00 3.028147672e-02
5.300000000e+00 5.500000000e+00 2.535170078e+00 3.261025583e-02
5.500000000e+00 5.700000000e+00 2.446391821e+00 3.125023785e-02
5.700000000e+00 5.900000000e+00 2.415462017e+00 3.124707810e-02
5.900000000e+00 6.100000000e+00 2.260141611e+00 3.094797337e-02
6.100000000e+00 6.300000000e+00 1.897440910e+00 2.764985817e-02
6.300000000e+00 6.500000000e+00 1.587203145e+00 2.595222114e-02
6.500000000e+00 6.700000000e+00 1.272879362e+00 2.235691208e-02
6.700000000e+00 6.900000000e+00 9.461750388e-01 1.946798563e-02
6.900000000e+00 7.100000000e+00 5.829171538e-01 1.522589813e-02
7.100000000e+00 7.300000000e+00 3.895120025e-01 1.330769438e-02
7.300000000e+00 7.500000000e+00 3.716834486e-01 1.265108487e-02
